date,value
2016-10-07,29239
2016-10-08,19924
2016-10-09,27503
2016-10-10,27894
2016-10-11,30409
2016-10-12,31794
2016-10-13,34206
2016-10-14,34626
2016-10-15,25631
2016-10-16,15743
2016-10-17,31407
2016-10-18,28602
2016-10-19,31963
2016-10-20,37517
2016-10-21,62373
2016-10-22,26742
2016-10-23,28209
2016-10-24,25278
2016-10-25,33734
2016-10-26,61509
2016-10-27,29309
2016-10-28,34905
2016-10-29,24016
2016-10-30,30963
2016-10-31,38542
2016-11-01,33438
2016-11-02,43466
2016-11-03,35241
2016-11-04,46542
2016-11-05,26814
2016-11-06,29631
2016-11-07,37418
2016-11-08,32638
2016-11-09,88403
2016-11-10,32474
2016-11-11,41910
2016-11-12,27908
2016-11-13,27958
2016-11-14,44216
2016-11-15,39139
2016-11-16,40223
2016-11-17,40999
2016-11-18,32255
2016-11-19,30455
2016-11-20,30623
2016-11-21,36117
2016-11-22,31487
2016-11-23,39311
2016-11-24,28739
2016-11-25,32386
2016-11-26,26065
2016-11-27,75381
2016-11-28,41397
2016-11-29,45515
2016-11-30,45883
2016-12-01,32271
2016-12-02,30478
2016-12-03,9637
2016-12-04,27011
2016-12-05,41545
2016-12-06,30704
2016-12-07,29650
2016-12-08,32013
2016-12-09,32203
2016-12-10,22275
2016-12-11,19771
2016-12-12,30489
2016-12-13,21861
2016-12-14,19348
2016-12-15,35605
2016-12-16,26550
2016-12-17,93326
2016-12-18,29693
2016-12-19,35061
2016-12-20,26233
2016-12-21,30664
2016-12-22,23250
2016-12-23,28597
2016-12-24,27390
2016-12-25,22360
2016-12-26,14983
2016-12-27,18024
2016-12-28,25312
2016-12-29,36026
2016-12-30,30395
2016-12-31,23146
2017-01-01,19900
2017-01-02,34252
2017-01-03,22184
2017-01-04,35309
2017-01-05,39536
2017-01-06,29592
2017-01-07,32142
2017-01-08,23161
2017-01-09,34537
2017-01-10,33160
2017-01-11,34349
2017-01-12,41555
2017-01-13,38366
2017-01-14,23611
2017-01-15,13215
2017-01-16,38554
2017-01-17,37940
2017-01-18,34988
2017-01-19,31409
2017-01-20,42232
2017-01-21,18344
2017-01-22,23398
2017-01-23,27028
2017-01-24,36257
2017-01-25,32107
2017-01-26,45036
2017-01-27,34609
2017-01-28,26366
2017-01-29,30464
2017-01-30,30979
2017-01-31,29260
2017-02-01,41395
2017-02-02,36315
2017-02-03,43680
2017-02-04,33514
2017-02-05,32462
2017-02-06,39262
2017-02-07,38528
2017-02-08,41038
2017-02-09,37054
2017-02-10,29291
2017-02-11,32509
2017-02-12,29857
2017-02-13,32315
2017-02-14,43143
2017-02-15,37379
2017-02-16,30594
2017-02-17,38986
2017-02-18,29026
2017-02-19,23932
2017-02-20,41041
2017-02-21,34267
2017-02-22,43152
2017-02-23,35113
2017-02-24,44525
2017-02-25,34807
2017-02-26,33263
2017-02-27,35981
2017-02-28,44324
2017-03-01,45286
2017-03-02,40996
2017-03-03,45751
2017-03-04,30760
2017-03-05,29529
2017-03-06,42490
2017-03-07,43364
2017-03-08,45188
2017-03-09,43413
2017-03-10,49332
2017-03-11,29716
2017-03-12,69325
2017-03-13,44376
2017-03-14,50069
2017-03-15,43953
2017-03-16,44950
2017-03-17,52215
2017-03-18,40430
2017-03-19,39531
2017-03-20,41578
2017-03-21,44263
2017-03-22,35346
2017-03-23,39430
2017-03-24,46923
2017-03-25,27832
2017-03-26,37233
2017-03-27,43897
2017-03-28,45794
2017-03-29,35407
2017-03-30,33774
2017-03-31,49516
2017-04-01,38634
2017-04-02,40171
2017-04-03,53243
2017-04-04,110051
2017-04-05,35419
2017-04-06,43720
2017-04-07,49412
2017-04-08,36233
2017-04-09,36886
2017-04-10,42432
2017-04-11,52819
2017-04-12,51737
2017-04-13,36511
2017-04-14,55121
2017-04-15,34770
2017-04-16,48818
2017-04-17,39150
2017-04-18,51268
2017-04-19,42968
2017-04-20,45061
2017-04-21,50297
2017-04-22,35222
2017-04-23,40537
2017-04-24,47537
2017-04-25,51996
2017-04-26,52913
2017-04-27,55515
2017-04-28,47679
2017-04-29,41244
2017-04-30,36397
2017-05-01,41374
2017-05-02,38642
2017-05-03,44157
2017-05-04,46110
2017-05-05,45469
2017-05-06,41275
2017-05-07,31667
2017-05-08,54151
2017-05-09,47064
2017-05-10,51034
2017-05-11,47334
2017-05-12,41266
2017-05-13,37059
2017-05-14,22237
2017-05-15,46837
2017-05-16,45462
2017-05-17,51913
2017-05-18,37108
2017-05-19,45535
2017-05-20,37441
2017-05-21,32692
2017-05-22,38707
2017-05-23,40211
2017-05-24,51048
2017-05-25,87261
2017-05-26,39008
2017-05-27,38415
2017-05-28,87240
2017-05-29,47957
2017-05-30,38776
2017-05-31,43400
2017-06-01,36341
2017-06-02,48642
2017-06-03,49577
2017-06-04,36391
2017-06-05,32952
2017-06-06,47813
2017-06-07,51544
2017-06-08,51193
2017-06-09,44663
2017-06-10,39529
2017-06-11,37394
2017-06-12,47563
2017-06-13,48707
2017-06-14,40272
2017-06-15,41147
2017-06-16,42412
2017-06-17,36009
2017-06-18,38159
2017-06-19,49833
2017-06-20,37747
2017-06-21,48913
2017-06-22,43375
2017-06-23,30069
2017-06-24,35446
2017-06-25,36116
2017-06-26,47261
2017-06-27,47508
2017-06-28,44568
2017-06-29,40568
2017-06-30,49444
2017-07-01,30334
2017-07-02,27818
2017-07-03,37593
2017-07-04,38147
2017-07-05,40309
2017-07-06,38680
2017-07-07,39138
2017-07-08,37708
2017-07-09,38023
2017-07-10,43744
2017-07-11,39573
2017-07-12,37824
2017-07-13,40041
2017-07-14,40507
2017-07-15,38487
2017-07-16,32919
2017-07-17,35336
2017-07-18,37214
2017-07-19,50261
2017-07-20,36817
2017-07-21,35201
2017-07-22,33102
2017-07-23,43405
2017-07-24,42122
2017-07-25,43143
2017-07-26,33837
2017-07-27,34266
2017-07-28,41788
2017-07-29,32552
2017-07-30,36828
2017-07-31,36408
2017-08-01,43225
2017-08-02,44787
2017-08-03,30305
2017-08-04,39306
2017-08-05,29724
2017-08-06,38373
2017-08-07,39329
2017-08-08,43006
2017-08-09,37899
2017-08-10,39891
2017-08-11,49024
2017-08-12,41782
2017-08-13,22958
2017-08-14,40386
2017-08-15,39726
2017-08-16,33191
2017-08-17,34760
2017-08-18,39565
2017-08-19,36460
2017-08-20,34336
2017-08-21,36666
2017-08-22,33494
2017-08-23,28374
2017-08-24,46580
2017-08-25,36136
2017-08-26,86038
2017-08-27,33688
2017-08-28,38611
2017-08-29,38997
2017-08-30,42406
2017-08-31,36729
2017-09-01,30983
2017-09-02,28599
2017-09-03,29680
2017-09-04,30950
2017-09-05,30906
2017-09-06,31235
2017-09-07,40591
2017-09-08,43474
2017-09-09,35959
2017-09-10,25066
2017-09-11,33203
2017-09-12,30326
2017-09-13,45935
2017-09-14,34371
2017-09-15,36644
2017-09-16,27492
2017-09-17,30749
2017-09-18,31709
2017-09-19,33890
2017-09-20,32471
2017-09-21,25246
2017-09-22,38384
2017-09-23,33842
2017-09-24,35042
2017-09-25,45027
2017-09-26,42020
2017-09-27,36951
2017-09-28,73176
2017-09-29,34736
2017-09-30,34395
2017-10-01,37963
2017-10-02,34815
2017-10-03,46322
2017-10-04,46826
2017-10-05,40684
2017-10-06,82100
2017-10-07,45575
2017-10-08,33899
2017-10-09,50500
2017-10-10,51097
2017-10-11,42048
2017-10-12,44625
2017-10-13,41414
2017-10-14,37026
2017-10-15,39710
2017-10-16,52831
2017-10-17,43845
2017-10-18,39307
2017-10-19,31398
2017-10-20,43813
2017-10-21,33633
2017-10-22,79431
2017-10-23,48427
2017-10-24,39385
2017-10-25,49171
2017-10-26,46342
2017-10-27,46174
2017-10-28,37877
2017-10-29,45322
2017-10-30,50533
2017-10-31,48536
2017-11-01,56466
2017-11-02,50925
2017-11-03,51485
2017-11-04,46508
2017-11-05,42520
2017-11-06,44902
2017-11-07,59764
2017-11-08,55707
2017-11-09,44535
2017-11-10,46156
2017-11-11,38784
2017-11-12,36533
2017-11-13,53002
2017-11-14,58742
2017-11-15,53207
2017-11-16,59108
2017-11-17,49260
2017-11-18,45707
2017-11-19,39799
2017-11-20,51579
2017-11-21,56882
2017-11-22,55119
2017-11-23,56693
2017-11-24,49593
2017-11-25,49235
2017-11-26,51963
2017-11-27,54570
2017-11-28,44841
2017-11-29,53243
2017-11-30,53093
2017-12-01,39480
2017-12-02,30726
2017-12-03,31858
2017-12-04,48704
2017-12-05,43665
2017-12-06,51395
2017-12-07,34095
2017-12-08,45232
2017-12-09,44161
2017-12-10,45357
2017-12-11,40544
2017-12-12,51237
2017-12-13,48790
2017-12-14,49272
2017-12-15,44470
2017-12-16,41491
2017-12-17,69920
2017-12-18,40508
2017-12-19,30050
2017-12-20,49310
2017-12-21,48973
2017-12-22,47443
2017-12-23,34749
2017-12-24,34780
2017-12-25,35983
2017-12-26,52008
2017-12-27,43515
2017-12-28,48202
2017-12-29,42287
2017-12-30,25313
2017-12-31,41082
2018-01-01,54247
2018-01-02,57510
2018-01-03,47691
2018-01-04,45908
2018-01-05,49097
2018-01-06,36171
2018-01-07,37030
2018-01-08,51507
2018-01-09,47307
2018-01-10,45869
2018-01-11,50499
2018-01-12,97906
2018-01-13,53665
2018-01-14,40196
2018-01-15,56456
2018-01-16,52236
2018-01-17,53639
2018-01-18,50598
2018-01-19,48113
2018-01-20,41893
2018-01-21,38905
2018-01-22,50822
2018-01-23,53856
2018-01-24,36856
2018-01-25,42736
2018-01-26,43116
2018-01-27,45387
2018-01-28,45288
2018-01-29,47136
2018-01-30,56766
2018-01-31,47377
2018-02-01,56016
2018-02-02,57341
2018-02-03,45580
2018-02-04,51631
2018-02-05,51616
2018-02-06,53406
2018-02-07,54094
2018-02-08,57359
2018-02-09,60805
2018-02-10,42861
2018-02-11,39792
2018-02-12,57054
2018-02-13,43289
2018-02-14,54067
2018-02-15,56752
2018-02-16,45125
2018-02-17,42733
2018-02-18,45435
2018-02-19,53432
2018-02-20,54042
2018-02-21,56098
2018-02-22,57603
2018-02-23,46275
2018-02-24,53462
2018-02-25,45828
2018-02-26,52216
2018-02-27,59903
2018-02-28,51694
2018-03-01,52971
2018-03-02,47956
2018-03-03,56737
2018-03-04,41557
2018-03-05,50938
2018-03-06,46921
2018-03-07,55606
2018-03-08,48302
2018-03-09,63552
2018-03-10,47285
2018-03-11,44927
2018-03-12,59691
2018-03-13,52459
2018-03-14,57256
2018-03-15,62477
2018-03-16,53947
2018-03-17,49151
2018-03-18,47345
2018-03-19,56526
2018-03-20,73419
2018-03-21,47508
2018-03-22,62774
2018-03-23,58540
2018-03-24,47806
2018-03-25,56415
2018-03-26,64623
2018-03-27,53913
2018-03-28,58011
2018-03-29,55442
2018-03-30,60788
2018-03-31,52467
2018-04-01,52597
2018-04-02,61879
2018-04-03,62321
2018-04-04,67239
2018-04-05,55536
2018-04-06,59561
2018-04-07,65170
2018-04-08,49783
2018-04-09,66167
2018-04-10,55157
2018-04-11,63724
2018-04-12,59262
2018-04-13,62221
2018-04-14,51754
2018-04-15,59737
2018-04-16,60104
2018-04-17,125763
2018-04-18,62756
2018-04-19,56869
2018-04-20,48754
2018-04-21,45980
2018-04-22,49940
2018-04-23,69167
2018-04-24,72013
2018-04-25,94371
2018-04-26,61506
2018-04-27,57332
2018-04-28,55038
2018-04-29,47393
2018-04-30,62654
2018-05-01,55827
2018-05-02,53901
2018-05-03,56616
2018-05-04,49859
2018-05-05,56356
2018-05-06,48731
2018-05-07,67543
2018-05-08,64292
2018-05-09,66327
2018-05-10,58163
2018-05-11,66887
2018-05-12,59902
2018-05-13,51360
2018-05-14,60720
2018-05-15,67718
2018-05-16,61288
2018-05-17,56948
2018-05-18,66011
2018-05-19,59691
2018-05-20,49156
2018-05-21,62910
2018-05-22,60840
2018-05-23,66457
2018-05-24,57084
2018-05-25,67504
2018-05-26,58568
2018-05-27,52047
2018-05-28,58210
2018-05-29,55094
2018-05-30,68216
2018-05-31,56218
2018-06-01,57243
2018-06-02,60846
2018-06-03,83988
2018-06-04,59912
2018-06-05,59670
2018-06-06,57416
2018-06-07,51500
2018-06-08,61419
2018-06-09,45841
2018-06-10,99404
2018-06-11,50445
2018-06-12,57217
2018-06-13,58875
2018-06-14,55702
2018-06-15,58965
2018-06-16,55331
2018-06-17,59235
2018-06-18,59704
2018-06-19,58965
2018-06-20,60894
2018-06-21,59341
2018-06-22,55376
2018-06-23,52204
2018-06-24,58499
2018-06-25,59796
2018-06-26,59312
2018-06-27,58670
2018-06-28,62284
2018-06-29,61521
2018-06-30,54737
2018-07-01,46854
2018-07-02,43691
2018-07-03,52412
2018-07-04,55386
2018-07-05,51011
2018-07-06,59075
2018-07-07,44163
2018-07-08,37559
2018-07-09,59913
2018-07-10,54609
2018-07-11,55851
2018-07-12,46904
2018-07-13,54083
2018-07-14,75634
2018-07-15,49318
2018-07-16,60547
2018-07-17,52829
2018-07-18,54923
2018-07-19,64670
2018-07-20,55411
2018-07-21,56454
2018-07-22,40436
2018-07-23,55393
2018-07-24,62537
2018-07-25,59882
2018-07-26,64059
2018-07-27,54607
2018-07-28,50165
2018-07-29,37649
2018-07-30,49491
2018-07-31,59247
2018-08-01,49480
2018-08-02,56940
2018-08-03,51180
2018-08-04,48487
2018-08-05,41538
2018-08-06,47548
2018-08-07,58319
2018-08-08,55757
2018-08-09,52985
2018-08-10,57212
2018-08-11,50518
2018-08-12,51813
2018-08-13,51452
2018-08-14,49393
2018-08-15,53413
2018-08-16,54987
2018-08-17,46604
2018-08-18,35150
2018-08-19,48372
2018-08-20,59536
2018-08-21,86972
2018-08-22,52162
2018-08-23,54417
2018-08-24,54595
2018-08-25,41495
2018-08-26,47991
2018-08-27,59597
2018-08-28,55714
2018-08-29,53026
2018-08-30,57566
2018-08-31,56876
2018-09-01,38799
2018-09-02,50501
2018-09-03,55140
2018-09-04,52783
2018-09-05,53458
2018-09-06,52284
2018-09-07,47492
2018-09-08,47456
2018-09-09,44475
2018-09-10,56956
2018-09-11,48731
2018-09-12,47563
2018-09-13,47040
2018-09-14,56693
2018-09-15,44309
2018-09-16,41812
2018-09-17,45255
2018-09-18,64370
2018-09-19,52146
2018-09-20,48555
2018-09-21,49389
2018-09-22,50625
2018-09-23,43373
2018-09-24,46468
2018-09-25,51429
2018-09-26,60090
2018-09-27,58207
2018-09-28,58619
2018-09-29,41662
2018-09-30,37866
2018-10-01,59138
2018-10-02,58996
2018-10-03,61128
2018-10-04,65744
2018-10-05,58381
2018-10-06,50365
2018-10-07,48787
2018-10-08,64949
2018-10-09,63389
2018-10-10,65859
2018-10-11,55001
2018-10-12,59057
2018-10-13,60933
2018-10-14,56549
2018-10-15,67472
2018-10-16,66428
2018-10-17,65320
2018-10-18,58625
2018-10-19,61153
2018-10-20,56350
2018-10-21,66547
2018-10-22,65550
2018-10-23,61410
2018-10-24,62852
2018-10-25,64126
2018-10-26,61040
2018-10-27,58707
2018-10-28,60591
2018-10-29,74442
2018-10-30,69802
2018-10-31,63783
2018-11-01,62242
2018-11-02,59341
2018-11-03,63394
2018-11-04,64608
2018-11-05,72979
2018-11-06,110133
2018-11-07,65727
2018-11-08,65279
2018-11-09,69844
2018-11-10,48437
2018-11-11,50064
2018-11-12,53404
2018-11-13,63619
2018-11-14,65249
2018-11-15,71888
2018-11-16,66162
2018-11-17,61632
2018-11-18,58419
2018-11-19,63600
2018-11-20,60610
2018-11-21,67394
2018-11-22,66005
2018-11-23,60916
2018-11-24,56447
2018-11-25,53934
2018-11-26,62066
2018-11-27,72578
2018-11-28,68276
2018-11-29,69071
2018-11-30,61733
2018-12-01,47576
2018-12-02,56593
2018-12-03,54113
2018-12-04,54450
2018-12-05,60941
2018-12-06,63530
2018-12-07,63859
2018-12-08,51835
2018-12-09,47675
2018-12-10,59612
2018-12-11,60409
2018-12-12,56802
2018-12-13,56768
2018-12-14,61785
2018-12-15,60839
2018-12-16,42675
2018-12-17,58295
2018-12-18,50234
2018-12-19,58533
2018-12-20,56669
2018-12-21,68443
2018-12-22,54000
2018-12-23,46016
2018-12-24,66176
2018-12-25,50696
2018-12-26,61928
2018-12-27,67574
2018-12-28,60557
2018-12-29,55217
2018-12-30,54364
2018-12-31,58080
2019-01-01,64241
2019-01-02,55352
2019-01-03,65763
2019-01-04,59505
2019-01-05,60243
2019-01-06,54438
2019-01-07,62565
2019-01-08,62057
2019-01-09,59110
2019-01-10,65862
2019-01-11,61953
2019-01-12,51063
2019-01-13,54017
2019-01-14,62445
2019-01-15,65376
2019-01-16,64425
2019-01-17,61108
2019-01-18,64868
2019-01-19,67707
2019-01-20,55177
2019-01-21,49451
2019-01-22,57873
2019-01-23,60346
2019-01-24,69573
2019-01-25,69817
2019-01-26,54275
2019-01-27,57868
2019-01-28,63264
2019-01-29,57566
2019-01-30,64292
2019-01-31,65733
2019-02-01,62604
2019-02-02,62156
2019-02-03,66665
2019-02-04,59479
2019-02-05,69046
2019-02-06,72069
2019-02-07,73320
2019-02-08,62645
2019-02-09,59308
2019-02-10,61484
2019-02-11,73626
2019-02-12,78209
2019-02-13,69548
2019-02-14,74875
2019-02-15,67614
2019-02-16,59771
2019-02-17,66994
2019-02-18,76800
2019-02-19,78068
2019-02-20,65105
2019-02-21,63715
2019-02-22,77140
2019-02-23,51193
2019-02-24,60794
2019-02-25,65789
2019-02-26,75972
2019-02-27,69662
2019-02-28,71699
2019-03-01,72876
2019-03-02,63736
2019-03-03,67984
2019-03-04,110911
2019-03-05,66922
2019-03-06,70015
2019-03-07,71238
2019-03-08,68604
2019-03-09,65847
2019-03-10,76396
2019-03-11,71019
2019-03-12,76931
2019-03-13,70938
2019-03-14,78342
2019-03-15,66777
2019-03-16,70077
2019-03-17,67386
2019-03-18,74723
2019-03-19,66372
2019-03-20,108691
2019-03-21,79590
2019-03-22,109034
2019-03-23,63811
2019-03-24,68167
2019-03-25,82763
2019-03-26,79012
2019-03-27,79866
2019-03-28,70713
2019-03-29,74045
2019-03-30,62403
2019-03-31,64621
2019-04-01,74829
2019-04-02,70520
2019-04-03,80939
2019-04-04,74607
2019-04-05,72594
2019-04-06,63051
2019-04-07,73784
2019-04-08,77804
2019-04-09,73102
2019-04-10,68565
2019-04-11,78606
2019-04-12,73862
2019-04-13,72463
2019-04-14,67821
2019-04-15,81866
2019-04-16,74553
2019-04-17,82790
2019-04-18,78908
2019-04-19,68222
2019-04-20,66512
2019-04-21,75811
2019-04-22,76464
2019-04-23,72492
2019-04-24,75618
2019-04-25,80964
2019-04-26,77141
2019-04-27,67346
2019-04-28,59884
2019-04-29,83778
2019-04-30,70791
2019-05-01,79691
2019-05-02,66689
2019-05-03,71709
2019-05-04,63182
2019-05-05,71834
2019-05-06,71704
2019-05-07,77475
2019-05-08,83394
2019-05-09,75343
2019-05-10,70316
2019-05-11,66226
2019-05-12,62807
2019-05-13,79078
2019-05-14,78410
2019-05-15,76483
2019-05-16,69704
2019-05-17,64056
2019-05-18,66301
2019-05-19,66482
2019-05-20,70270
2019-05-21,70717
2019-05-22,73352
2019-05-23,79209
2019-05-24,64867
2019-05-25,65873
2019-05-26,72898
2019-05-27,64546
2019-05-28,74681
2019-05-29,75685
2019-05-30,76084
2019-05-31,84694
2019-06-01,65580
2019-06-02,83700
2019-06-03,70550
2019-06-04,73040
2019-06-05,68288
2019-06-06,65195
2019-06-07,68920
2019-06-08,64569
2019-06-09,74307
2019-06-10,69885
2019-06-11,70090
2019-06-12,66253
2019-06-13,79900
2019-06-14,75080
2019-06-15,70308
2019-06-16,68670
2019-06-17,69799
2019-06-18,74438
2019-06-19,68498
2019-06-20,75848
2019-06-21,79510
2019-06-22,79481
2019-06-23,93932
2019-06-24,79814
2019-06-25,78073
2019-06-26,67902
2019-06-27,74982
2019-06-28,80615
2019-06-29,63698
2019-06-30,69088
2019-07-01,69128
2019-07-02,71726
2019-07-03,66360
2019-07-04,70499
2019-07-05,72485
2019-07-06,60423
2019-07-07,59034
2019-07-08,69876
2019-07-09,67734
2019-07-10,70462
2019-07-11,66542
2019-07-12,74842
2019-07-13,64757
2019-07-14,56393
2019-07-15,77763
2019-07-16,66359
2019-07-17,68870
2019-07-18,76354
2019-07-19,66671
2019-07-20,73988
2019-07-21,52088
2019-07-22,56317
2019-07-23,71918
2019-07-24,63662
2019-07-25,71286
2019-07-26,66707
2019-07-27,62456
2019-07-28,65446
2019-07-29,71539
2019-07-30,69812
2019-07-31,68746
2019-08-01,66095
2019-08-02,63776
2019-08-03,66137
2019-08-04,54959
2019-08-05,68695
2019-08-06,69020
2019-08-07,58517
2019-08-08,69035
2019-08-09,73150
2019-08-10,59421
2019-08-11,63932
2019-08-12,67268
2019-08-13,68446
2019-08-14,71954
2019-08-15,66887
2019-08-16,70588
2019-08-17,53040
2019-08-18,61342
2019-08-19,59018
2019-08-20,65841
2019-08-21,64543
2019-08-22,70071
2019-08-23,65927
2019-08-24,70378
2019-08-25,59154
2019-08-26,62857
2019-08-27,57774
2019-08-28,68114
2019-08-29,66604
2019-08-30,72169
2019-08-31,65728
2019-09-01,62318
2019-09-02,60906
2019-09-03,59336
2019-09-04,63474
2019-09-05,61083
2019-09-06,66342
2019-09-07,57212
2019-09-08,62321
2019-09-09,63161
2019-09-10,56567
2019-09-11,69297
2019-09-12,78776
2019-09-13,69143
2019-09-14,51201
2019-09-15,75966
2019-09-16,74083
2019-09-17,65426
2019-09-18,66096
2019-09-19,63317
2019-09-20,71193
2019-09-21,60323
2019-09-22,53286
2019-09-23,63838
2019-09-24,64941
2019-09-25,64055
2019-09-26,70184
2019-09-27,62148
2019-09-28,57402
2019-09-29,67805
2019-09-30,75329
2019-10-01,85106
2019-10-02,77732
2019-10-03,79878
2019-10-04,71731
2019-10-05,65259
2019-10-06,61357
2019-10-07,78328
2019-10-08,79471
2019-10-09,78907
2019-10-10,74327
2019-10-11,74110
2019-10-12,73810
2019-10-13,64047
2019-10-14,77160
2019-10-15,82325
2019-10-16,78885
2019-10-17,78301
2019-10-18,78869
2019-10-19,71716
2019-10-20,68709
2019-10-21,68027
2019-10-22,67125
2019-10-23,77854
2019-10-24,75361
2019-10-25,85659
2019-10-26,70341
2019-10-27,80473
2019-10-28,72551
2019-10-29,83992
2019-10-30,79340
2019-10-31,83678
2019-11-01,75785
2019-11-02,69146
2019-11-03,70437
2019-11-04,87704
2019-11-05,82732
2019-11-06,86551
2019-11-07,74848
2019-11-08,88648
2019-11-09,79655
2019-11-10,70315
2019-11-11,76742
2019-11-12,80173
2019-11-13,83272
2019-11-14,79616
2019-11-15,83710
2019-11-16,67723
2019-11-17,80271
2019-11-18,86605
2019-11-19,85144
2019-11-20,75564
2019-11-21,85625
2019-11-22,75253
2019-11-23,80786
2019-11-24,67589
2019-11-25,79896
2019-11-26,85140
2019-11-27,75760
2019-11-28,71462
2019-11-29,78434
2019-11-30,71684
2019-12-01,62735
2019-12-02,72695
2019-12-03,71726
